სცხელა	სცხელოდა	V;ARGSU3S;IPFV;MID;IND;IPFV
სწყურია	გვწყუროდა	V;ARGOB3;ARGSU1P;IPFV;MID;IND;IPFV
სჯერა	მჯერა	V;ARGSU1S;PRS;MID;IND;IPFV
ჰქვია	მქვია	V;ARGOB3;ARGSU1S;PRS;MID;IND;IPFV
აგდებს	ამოეგდო	V;ARGOB3;ARGSU3S;ACT;PST+PRF;PFV;IND
სცემს	მიეცათ	V;ARGOB3;ARGSU3P;PST+PRF;ACT;PFV;IND
ღრეცს	მოეღრიცოს	V;ARGOB3;ARGSU3S;ACT;PFV;SBJV
აჩენს	აღმოაჩენ	V;ARGOB3;ARGSU2S;FUT;ACT;PFV;IND
იცვამს	მოეცვა	V;ARGOB3;ARGSU3S;ACT;PST+PRF;PFV;IND
აწყობს	დაეწყო	V;ARGOB3;ARGSU3S;ACT;PST+PRF;PFV;IND
აბაშიძე	აბაშიძე	N;SG;OM;PROPN
აბიჯებს	მიაბიჯებდნენ	V;ARGSU3P;ACT;IPFV;PFV;IND
აბუჩი	აბუჩად	ADV
აგებს	განაგებს	V;ARGIO3;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
აგნებს	მიაგნებს	V;ARGIO3;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
აგრეთვე	აგრეთვე	ADV
აგროვებს	დააგროვეს	V;ARGOB3;ARGSU3P;PST;ACT;PFV;IND
ადამიანი	ადამიანი	N;NOM;ANIM;SG
ადამიანი	ადამიანის	N;GEN;ANIM;SG
ადამიანი	ადამიანთა	N;PL;GEN;INAN
ადამიანური	ადამიანური	ADJ;GEN;SG
ადგენს	წარმოადგენს	V;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
ადგია	წაადგებოდა	V;ARGOB3;ARGSU3S;PST+PRF;MID;PFV;IND
ადვოკატი	ადვოკატების	N;PL;GEN;INAN
აერთიანებს	გააერთიანებს	V;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
ავადმყოფი	ავადმყოფ	N;DAT;ANIM;SG
ავადმყოფობა	ავადმყოფობა	N;NOM;INAN;SG
ავთვისებიანი	ავთვისებიანი	ADJ;NOM;SG
ავიწყდება	დამავიწყდა	V;ARGOB3;ARGSU1S;PST;MID;PFV;IND
ავიწყდება	ავიწყდება	V;ARGOB3;ARGSU3S;PRS;MID;IND;IPFV
ავლებს	მოავლო	V;ARGIO3;ARGOB3;ARGSU2S;PST;ACT;PFV;IND
ავტობუსი	ავტობუსები	N;PL;OM;INAN;N
ავტორი	ავტორთა	N;PL;GEN;ANIM
ავტორი	ავტორ	N;DAT;ANIM;SG
აზრი	აზრი	N;NOM;INAN;SG
ათითებს	მიმეთითებინა	V;ARGOB3;ARGSU1S;ACT;PST+PRF;PFV;IND
აინტერესებს	გაინტერესებთ	V;ARGIO2;ARGOB3;ARGSU1;ACT;IPFV;PRS;IND
აინტერესებს	მაინტერესებს	V;ARGOB1S;ARGSU3S;ACT;PRS;IND;IPFV
აკადემია	აკადემია	N;DAT;INAN;SG
ალბათ	ალბათ	PART
ალექსანდრე	ალექსანდრე	PRO;SG;GEN;PN
ამავდროულად	ამავდროულად	ADV
ამბავი	ამბავ	N;DAT;INAN;SG
ამბობს	ამბობენ	V;ARGOB3;ARGSU3P;ACT;PRS;IND
ამბობს	ვამბობ	V;ARGOB3;ARGSU1S;ACT;PRS;IND
ამბულატორული	ამბულატორულ	ADJ;DAT;SG
ამდენად	ამდენად	ADV
ამდენი	ამდენს	PRO;DAT;SG
ამდენი	ამდენმა	PRO;ERG;SG
ამიტომ	ამიტომ	CONJ
ამომწურავი	ამომწურავი	ADJ;NOM;SG
ამოცანა	ამოცანა	N;NOM;INAN;SG
ამჟამად	ამჟამად	ADV
ამსახველი	ამსახველი	ADJ;NOM;SG
ამსგავსებს	მიამსგავსა	V;ARGIO3;ARGOB3;ARGSU3S;PST;ACT;PFV;IND
ამღერებული	ამღერებულ	V;DAT;PST;V.PTCP;IND;SG
ან	ან	CONJ
ანალიზი	ანალიზი	N;NOM;INAN;SG
ანგარიშგება	ანგარიშგების	N;GEN;INAN;SG
ანგარიში	ანგარიშის	N;GEN;INAN;SG
ანდა	ანდა	CONJ
ანდობს	გაგვანდო	V;ARGIO1P;ARGOB3;ARGSU3S;PST;ACT;PFV;IND
ანიჭებს	ანიჭებენ	V;ARGIO3;ARGOB3;ARGSU3P;ACT;PRS;IND;IPFV
ანიჭებს	ანიჭებს	V;ARGIO3;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
ანკარა	ანკარა	ADJ;GEN;SG
ანუ	ანუ	CONJ
აპირობებს	განაპირობა	V;ARGOB3;ARGSU3S;PST;ACT;PFV;IND
აპრიალებს	აპრიალებდნენ	V;ARGOB3;ARGSU3P;IPFV;ACT;IND;IPFV
არ	არ	PART
არა	არა	PART
არადამაკმაყოფილებელი	არადამაკმაყოფილებელ	ADJ;DAT;SG
არადემოკრატიული	არადემოკრატიული	ADJ;NOM;SG
არაერთი	არაერთი	ADJ;GEN;SG
არავინ	არავინ	N;PRO;OM;SG
არამედ	არამედ	CONJ
არანაირი	არანაირი	ADJ;NOM;SG
არასაბიუჯეტო	არასაბიუჯეტო	ADJ;GEN;SG
არასამთავრობო	არასამთავრობო	ADJ;GEN;SG
არასასურველი	არასასურველ	ADJ;FRML;SG
არასერიოზული	არასერიოზულად	ADV
არაფერი	არაფერს	PRO;DAT;SG
არაფორმალური	არაფორმალური	ADJ;NOM;SG
არგუმენტი	არგუმენტებით	N;INS;PL;INAN
არგუმენტირებული	არგუმენტირებული	ADJ;NOM;SG
არე	არე	N;NOM;INAN;SG
არიდებს	განირიდებს	V;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
არის	ა	V;ARGSU2S;PRS;IND
არის	ვარ	V;ARGSU1S;PRS;IND
არის	არის	V;ARGSU3S;PRS;IND
